cluster_id,x,y
1,1,28
1,2,28
1,2,29
1,3,29
2,2,86
2,3,86
2,2,87
2,3,87
2,4,86
2,4,87
2,2,88
2,3,88
2,4,88
3,3,74
3,4,73
3,4,74
3,4,72
3,5,72
3,5,74
4,13,58
4,14,58
4,13,59
4,14,59
4,15,58
4,15,59
4,13,60
4,14,60
4,15,60
5,14,20
5,15,20
5,14,21
5,15,21
5,16,20
5,16,21
5,14,22
5,15,22
5,16,22
6,20,65
6,21,65
6,20,66
6,21,66
6,22,65
6,22,66
6,20,67
6,21,67
6,22,67
7,23,28
7,24,28
7,23,29
7,24,29
7,25,28
7,25,29
7,23,30
7,24,30
7,25,30
8,27,48
8,28,48
8,27,49
8,28,49
8,29,48
8,29,49
8,27,50
8,28,50
8,29,50
9,30,9
9,31,9
9,30,10
9,31,10
9,32,9
9,32,10
9,30,11
9,31,11
9,32,11
10,35,59
10,36,59
10,35,60
10,36,60
10,37,60
10,35,61
10,36,61
10,37,61
11,37,22
11,38,22
11,37,23
11,38,23
11,39,22
11,39,23
11,37,24
11,38,24
11,39,24
12,39,33
12,40,33
12,39,34
12,40,34
12,41,33
12,41,34
12,39,35
12,40,35
12,41,35
13,39,66
13,40,66
13,39,67
13,40,67
13,41,66
13,41,67
13,39,68
13,40,68
13,41,68
14,40,1
14,41,1
14,41,2
14,42,1
14,42,2
14,40,3
14,41,3
14,42,3
15,41,23
15,42,23
15,41,24
15,42,24
15,43,23
15,43,24
15,41,25
15,42,25
15,43,25
16,43,59
16,44,59
16,43,60
16,44,60
16,45,59
16,45,60
16,43,61
16,44,61
16,45,61
17,44,71
17,45,71
17,44,72
17,45,72
17,46,71
17,46,72
17,44,73
17,45,73
17,46,73
18,49,30
18,50,31
18,51,31
19,49,48
19,50,48
19,49,49
19,50,49
19,51,48
19,51,49
19,49,50
19,50,50
19,51,50
20,50,24
20,51,24
20,50,25
20,51,25
20,52,24
20,52,25
20,50,26
20,51,26
20,52,26
21,50,36
21,51,36
21,50,37
21,51,37
21,52,36
21,52,37
21,50,38
21,51,38
21,52,38
22,55,49
22,56,49
22,55,50
22,56,50
22,57,49
22,57,50
22,55,51
22,56,51
22,57,51
23,56,83
23,57,83
23,56,84
23,57,84
23,58,83
23,58,84
23,56,85
23,57,85
23,58,85
24,60,17
24,61,17
24,60,18
24,61,18
24,62,17
24,62,18
24,60,19
24,61,19
24,62,19
25,68,9
25,69,9
25,68,10
25,69,10
25,70,9
25,70,10
25,68,11
25,69,11
25,70,11
26,68,16
26,69,16
26,68,17
26,69,17
26,70,16
26,70,17
26,68,18
26,69,18
26,70,18
27,72,36
27,73,36
27,72,37
27,73,37
27,74,36
27,74,37
27,72,38
27,73,38
27,74,38
28,78,19
28,79,19
28,78,20
28,79,20
28,80,19
28,80,20
28,78,21
28,79,21
28,80,21
29,81,56
29,82,56
29,81,57
29,82,57
29,83,56
29,83,57
29,81,58
29,82,58
29,83,58
30,82,85
30,83,85
30,82,86
30,83,86
30,84,85
30,84,86
30,82,87
30,83,87
30,84,87
31,97,2
31,98,2
31,97,3
31,98,3
31,99,2
31,99,3
31,97,4
31,98,4
31,99,4
